id,neutrino,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
68,none,Ru,96,b,44,b,P,31,f,15,b,Cu,65,f,29,b,5.636500
69,none,Ru,96,b,44,b,S,32,b,16,b,Ni,64,b,28,b,7.048600
70,right,Ru,96,b,44,b,S,33,f,16,f,Cu,63,f,29,b,6.095695
71,none,Ru,96,b,44,b,S,34,b,16,b,Ni,62,b,28,b,10.609700
72,right,Ru,96,b,44,b,Cl,35,f,17,b,Ni,61,f,28,f,7.168777
73,none,Ru,96,b,44,b,Cl,37,f,17,b,Co,59,f,27,b,7.930700
74,right,Ru,96,b,44,b,Ar,36,b,18,b,Co,60,b,27,f,5.818110
75,none,Ru,96,b,44,b,Ar,38,b,18,b,Fe,58,b,26,b,10.808100
76,none,Ru,96,b,44,b,Ar,40,b,18,b,Fe,56,b,26,b,9.579500
77,right,Ru,96,b,44,b,K,39,f,19,b,Fe,57,f,26,f,7.910246
78,right,Ru,96,b,44,b,K,40,b,19,f,Fe,56,b,26,b,8.066737
79,none,Ru,96,b,44,b,K,41,f,19,b,Mn,55,f,25,b,7.182800
80,none,Ru,96,b,44,b,Ca,42,b,20,b,Cr,54,b,24,b,9.401600
81,none,Ru,96,b,44,b,Ca,43,f,20,f,Cr,53,f,24,f,7.609400
82,none,Ru,96,b,44,b,Ca,44,b,20,b,Cr,52,b,24,b,10.801600
83,left,Ru,96,b,44,b,Ca,46,b,20,b,V,50,b,23,f,6.283861
84,none,Ru,96,b,44,b,Ca,46,b,20,b,Cr,50,b,24,b,7.321500
85,none,Ru,96,b,44,b,Sc,45,f,21,b,V,51,f,23,b,7.175300
86,none,Ru,96,b,44,b,Ti,46,b,22,b,Ti,50,b,22,b,9.479800
87,right,Ru,96,b,44,b,Ti,46,b,22,b,V,50,b,23,f,7.267515
88,none,Ru,96,b,44,b,Ti,47,f,22,f,Ti,49,f,22,f,7.428700
89,none,Ru,96,b,44,b,Ti,48,b,22,b,Ti,48,b,22,b,10.902200
90,none,Ru,98,b,44,b,Mg,26,b,12,b,Ge,72,b,32,b,0.770300
91,none,Ru,98,b,44,b,Si,28,b,14,b,Zn,70,b,30,b,3.004100
92,right,Ru,98,b,44,b,Si,29,f,14,f,Ga,69,f,31,b,3.099079
93,none,Ru,98,b,44,b,Si,30,b,14,b,Zn,68,b,30,b,6.403100
94,right,Ru,98,b,44,b,P,31,f,15,b,Zn,67,f,30,f,4.273693
