id,neutrino,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
312,right,Cd,106,b,48,b,Ti,46,b,22,b,Co,60,b,27,f,18.174379
313,right,Cd,106,b,48,b,Ti,47,f,22,f,Co,59,f,27,b,19.563237
314,none,Cd,106,b,48,b,Ti,48,b,22,b,Fe,58,b,26,b,23.035800
315,none,Cd,106,b,48,b,Ti,49,f,22,f,Fe,57,f,26,f,21.134700
316,none,Cd,106,b,48,b,Ti,50,b,22,b,Fe,56,b,26,b,24.431200
317,right,Cd,106,b,48,b,V,50,b,23,f,Fe,56,b,26,b,22.218927
318,none,Cd,106,b,48,b,V,51,f,23,b,Mn,55,f,25,b,22.279500
319,none,Cd,106,b,48,b,Cr,52,b,24,b,Cr,54,b,24,b,24.737700
320,none,Cd,106,b,48,b,Cr,53,f,24,f,Cr,53,f,24,f,22.959500
321,none,Cd,108,b,48,b,O,16,b,8,b,Zr,92,b,40,b,4.187100
322,none,Cd,108,b,48,b,O,18,b,8,b,Zr,90,b,40,b,0.484400
323,none,Cd,108,b,48,b,F,19,f,9,b,Y,89,f,39,b,0.153700
324,none,Cd,108,b,48,b,Ne,20,b,10,b,Sr,88,b,38,b,5.540500
325,left,Cd,108,b,48,b,Ne,21,f,10,f,Rb,87,f,37,b,0.904483
326,none,Cd,108,b,48,b,Ne,21,f,10,f,Sr,87,f,38,f,1.174600
327,none,Cd,108,b,48,b,Ne,22,b,10,b,Sr,86,b,38,b,3.125200
328,none,Cd,108,b,48,b,Na,23,f,11,b,Rb,85,f,37,b,2.344600
329,none,Cd,108,b,48,b,Mg,24,b,12,b,Kr,84,b,36,b,6.940600
330,none,Cd,108,b,48,b,Mg,25,f,12,f,Kr,83,f,36,f,3.753000
331,none,Cd,108,b,48,b,Mg,26,b,12,b,Kr,82,b,36,b,7.383000
332,none,Cd,108,b,48,b,Al,27,f,13,b,Br,81,f,35,b,5.701700
333,none,Cd,108,b,48,b,Si,28,b,14,b,Se,80,b,34,b,9.837500
334,right,Cd,108,b,48,b,Si,29,f,14,f,Br,79,f,35,b,8.533415
335,none,Cd,108,b,48,b,Si,30,b,14,b,Se,78,b,34,b,12.007900
336,right,Cd,108,b,48,b,P,31,f,15,b,Se,77,f,34,f,9.597182
337,none,Cd,108,b,48,b,S,32,b,16,b,Ge,76,b,32,b,9.842200
338,right,Cd,108,b,48,b,S,33,f,16,f,As,75,f,33,b,10.208242
339,none,Cd,108,b,48,b,S,34,b,16,b,Ge,74,b,32,b,13.958400
340,right,Cd,108,b,48,b,Cl,35,f,17,b,Ge,73,f,32,f,10.977656
341,none,Cd,108,b,48,b,Cl,37,f,17,b,Ga,71,f,31,b,12.355300
342,none,Cd,108,b,48,b,Ar,38,b,18,b,Zn,70,b,30,b,14.835900
343,none,Cd,108,b,48,b,Ar,40,b,18,b,Zn,68,b,30,b,15.603500
344,right,Cd,108,b,48,b,K,40,b,19,f,Zn,68,b,30,b,14.090709
345,right,Cd,108,b,48,b,K,41,f,19,b,Zn,67,f,30,f,13.987313
346,right,Cd,108,b,48,b,Ca,43,f,20,f,Cu,65,f,29,b,16.239666
347,none,Cd,108,b,48,b,Ca,44,b,20,b,Ni,64,b,28,b,19.143100
348,none,Cd,108,b,48,b,Ca,46,b,20,b,Ni,62,b,28,b,20.461200
349,left,Cd,108,b,48,b,Ca,48,b,20,b,Co,60,b,27,f,16.609473
350,none,Cd,108,b,48,b,Ca,48,b,20,b,Ni,60,b,28,b,19.425400
351,right,Cd,108,b,48,b,Ti,48,b,22,b,Co,60,b,27,f,20.722016
352,right,Cd,108,b,48,b,Ti,49,f,22,f,Co,59,f,27,b,21.371267
353,none,Cd,108,b,48,b,Ti,50,b,22,b,Fe,58,b,26,b,24.161100
354,right,Cd,108,b,48,b,V,50,b,23,f,Fe,58,b,26,b,21.948793
355,right,Cd,108,b,48,b,V,51,f,23,b,Fe,57,f,26,f,22.940835
356,right,Cd,108,b,48,b,Cr,53,f,24,f,Mn,55,f,25,b,23.562141
357,none,Cd,108,b,48,b,Cr,54,b,24,b,Cr,54,b,24,b,24.444300
358,none,Cd,110,b,48,b,O,16,b,8,b,Zr,94,b,40,b,1.783800
359,none,Cd,110,b,48,b,Ne,20,b,10,b,Sr,90,b,38,b,2.978900
360,right,Cd,110,b,48,b,Ne,21,f,10,f,Y,89,f,39,b,3.438143
361,none,Cd,110,b,48,b,Ne,22,b,10,b,Sr,88,b,38,b,5.565700
362,none,Cd,110,b,48,b,Na,23,f,11,b,Rb,87,f,37,b,3.741800
363,right,Cd,110,b,48,b,Na,23,f,11,b,Sr,87,f,38,f,4.011943
364,none,Cd,110,b,48,b,Mg,24,b,12,b,Kr,86,b,36,b,6.807400
365,right,Cd,110,b,48,b,Mg,25,f,12,f,Rb,85,f,37,b,5.048696
366,none,Cd,110,b,48,b,Mg,26,b,12,b,Kr,84,b,36,b,8.267000
367,right,Cd,110,b,48,b,Al,27,f,13,b,Kr,83,f,36,f,6.803631
368,right,Cd,110,b,48,b,Si,29,f,14,f,Br,81,f,35,b,9.440691
369,none,Cd,110,b,48,b,Si,30,b,14,b,Se,80,b,34,b,11.827200
370,none,Cd,110,b,48,b,S,34,b,16,b,Ge,76,b,32,b,12.803400
371,right,Cd,110,b,48,b,Cl,37,f,17,b,Ge,73,f,32,f,12.774508
372,none,Cd,110,b,48,b,Ar,40,b,18,b,Zn,70,b,30,b,14.194100
373,right,Cd,110,b,48,b,K,40,b,19,f,Zn,70,b,30,b,12.681359
374,none,Cd,110,b,48,b,Ca,46,b,20,b,Ni,64,b,28,b,19.861300
375,none,Cd,110,b,48,b,Ca,48,b,20,b,Ni,62,b,28,b,20.736900
376,right,Cd,110,b,48,b,Ti,50,b,22,b,Co,60,b,27,f,22.704235
377,right,Cd,111,f,48,f,F,19,f,9,b,Zr,92,b,40,b,1.411212
378,none,Cd,111,f,48,f,Ne,21,f,10,f,Sr,90,b,38,b,3.102800
379,right,Cd,111,f,48,f,Ne,22,b,10,b,Y,89,f,39,b,7.167845
380,right,Cd,111,f,48,f,Na,23,f,11,b,Sr,88,b,38,b,8.501745
381,right,Cd,111,f,48,f,Mg,24,b,12,b,Rb,87,f,37,b,9.580415
382,none,Cd,111,f,48,f,Mg,25,f,12,f,Kr,86,b,36,b,7.501300
383,right,Cd,111,f,48,f,Mg,26,b,12,b,Rb,85,f,37,b,9.509621
384,right,Cd,111,f,48,f,Al,27,f,13,b,Kr,84,b,36,b,10.685167
385,right,Cd,111,f,48,f,Si,30,b,14,b,Br,81,f,35,b,13.418171
386,right,Cd,111,f,48,f,P,31,f,15,b,Se,80,b,34,b,13.259817
387,right,Cd,111,f,48,f,Cl,35,f,17,b,Ge,76,b,32,b,13.315706
388,right,Cd,111,f,48,f,Cl,37,f,17,b,Ge,74,b,32,b,16.267611
389,right,Cd,111,f,48,f,Ar,40,b,18,b,Ga,71,f,31,b,16.101805
390,right,Cd,111,f,48,f,K,41,f,19,b,Zn,70,b,30,b,16.139996
391,right,Cd,111,f,48,f,Ca,46,b,20,b,Cu,65,f,29,b,21.456965
392,right,Cd,111,f,48,f,Ca,48,b,20,b,Cu,63,f,29,b,21.007053
393,none,Cd,112,b,48,b,Ne,22,b,10,b,Sr,90,b,38,b,3.842400
394,right,Cd,112,b,48,b,Mg,25,f,12,f,Rb,87,f,37,b,7.284282
395,none,Cd,112,b,48,b,Mg,26,b,12,b,Kr,86,b,36,b,8.972200
396,none,Cd,112,b,48,b,Ca,48,b,20,b,Ni,64,b,28,b,20.975400
397,right,Cd,113,f,48,f,F,19,f,9,b,Zr,94,b,40,b,0.060545
398,right,Cd,113,f,48,f,Na,23,f,11,b,Sr,90,b,38,b,6.992724
399,right,Cd,113,f,48,f,Mg,26,b,12,b,Rb,87,f,37,b,11.959451
400,right,Cd,113,f,48,f,Al,27,f,13,b,Kr,86,b,36,b,11.604551
401,right,Cd,113,f,48,f,Cl,37,f,17,b,Ge,76,b,32,b,16.165147
402,right,Cd,113,f,48,f,Ca,48,b,20,b,Cu,65,f,29,b,22.785275
403,right,In,113,f,49,b,C,12,b,6,b,Ru,101,f,44,f,0.149037
404,right,In,113,f,49,b,O,16,b,8,b,Mo,97,f,42,f,3.367349
405,right,In,113,f,49,b,O,17,f,8,f,Mo,96,b,42,b,0.555168
406,right,In,113,f,49,b,Ne,21,f,10,f,Zr,92,b,40,b,5.440855
407,right,In,113,f,49,b,Ne,22,b,10,b,Zr,91,f,40,f,7.121270
408,none,In,113,f,49,b,Na,23,f,11,b,Sr,90,b,38,b,6.685300
409,right,In,113,f,49,b,Mg,25,f,12,f,Sr,88,b,38,b,11.951067
410,none,In,113,f,49,b,Mg,26,b,12,b,Rb,87,f,37,b,11.652100
411,right,In,113,f,49,b,Mg,26,b,12,b,Sr,87,f,38,f,11.922191
412,none,In,113,f,49,b,Al,27,f,13,b,Kr,86,b,36,b,11.297200
413,right,In,113,f,49,b,Si,29,f,14,f,Kr,84,b,36,b,15.169379
414,right,In,113,f,49,b,Si,30,b,14,b,Kr,83,f,36,f,15.265323
415,right,In,113,f,49,b,S,33,f,16,f,Se,80,b,34,b,15.189872
416,none,In,113,f,49,b,Cl,37,f,17,b,Ge,76,b,32,b,15.857800
417,right,In,113,f,49,b,Ar,40,b,18,b,Ge,73,f,32,f,17.266173
418,right,In,113,f,49,b,Ca,43,f,20,f,Zn,70,b,30,b,18.771467
419,right,In,113,f,49,b,Ca,46,b,20,b,Zn,67,f,30,f,21.836083
420,none,In,113,f,49,b,Ca,48,b,20,b,Cu,65,f,29,b,22.477900
421,right,In,113,f,49,b,Ti,49,f,22,f,Ni,64,b,28,b,26.504731
422,right,In,115,f,49,b,Ne,21,f,10,f,Zr,94,b,40,b,3.801425
423,right,In,115,f,49,b,Mg,25,f,12,f,Sr,90,b,38,b,10.153284
424,right,In,115,f,49,b,Si,29,f,14,f,Kr,86,b,36,b,15.800001
425,right,In,115,f,49,b,Ca,48,b,20,b,Zn,67,f,30,f,22.875630
426,none,Sn,112,b,50,b,C,12,b,6,b,Ru,100,b,44,b,1.788500
427,none,Sn,112,b,50,b,O,16,b,8,b,Mo,96,b,42,b,5.099900
428,none,Sn,112,b,50,b,O,17,f,8,f,Mo,95,f,42,f,0.080100
429,none,Sn,112,b,50,b,O,18,b,8,b,Mo,94,b,42,b,0.968800
430,none,Sn,112,b,50,b,F,19,f,9,b,Nb,93,f,41,b,0.479700
431,none,Sn,112,b,50,b,Ne,20,b,10,b,Zr,92,b,40,b,7.366300
432,none,Sn,112,b,50,b,Ne,21,f,10,f,Zr,91,f,40,f,5.440900
433,none,Sn,112,b,50,b,Ne,22,b,10,b,Zr,90,b,40,b,8.602300
434,none,Sn,112,b,50,b,Na,23,f,11,b,Y,89,f,39,b,9.070000
435,none,Sn,112,b,50,b,Mg,24,b,12,b,Sr,88,b,38,b,13.306400
436,left,Sn,112,b,50,b,Mg,25,f,12,f,Rb,87,f,37,b,9.240423
437,none,Sn,112,b,50,b,Mg,25,f,12,f,Sr,87,f,38,f,9.510600
438,none,Sn,112,b,50,b,Mg,26,b,12,b,Sr,86,b,38,b,12.192300
439,none,Sn,112,b,50,b,Al,27,f,13,b,Rb,85,f,37,b,10.893800
440,none,Sn,112,b,50,b,Si,28,b,14,b,Kr,84,b,36,b,15.378000
441,none,Sn,112,b,50,b,Si,29,f,14,f,Kr,83,f,36,f,13.337100
442,none,Sn,112,b,50,b,Si,30,b,14,b,Kr,82,b,36,b,16.483700
443,none,Sn,112,b,50,b,P,31,f,15,b,Br,81,f,35,b,13.816900
444,none,Sn,112,b,50,b,S,32,b,16,b,Se,80,b,34,b,15.233700
445,right,Sn,112,b,50,b,S,33,f,16,f,Br,79,f,35,b,14.094435
446,none,Sn,112,b,50,b,S,34,b,16,b,Se,78,b,34,b,18.375600
447,right,Sn,112,b,50,b,Cl,35,f,17,b,Se,77,f,34,f,15.044559
448,none,Sn,112,b,50,b,Cl,37,f,17,b,As,75,f,33,b,16.267600
449,none,Sn,112,b,50,b,Ar,36,b,18,b,Ge,76,b,32,b,14.933700
450,none,Sn,112,b,50,b,Ar,38,b,18,b,Ge,74,b,32,b,19.621900
451,none,Sn,112,b,50,b,Ar,40,b,18,b,Ge,72,b,32,b,19.071400
452,right,Sn,112,b,50,b,K,39,f,19,b,Ge,73,f,32,f,16.642072
453,right,Sn,112,b,50,b,K,40,b,19,f,Ge,72,b,32,b,17.558662
454,none,Sn,112,b,50,b,K,41,f,19,b,Ga,71,f,31,b,17.013700
455,none,Sn,112,b,50,b,Ca,42,b,20,b,Zn,70,b,30,b,19.527800
456,right,Sn,112,b,50,b,Ca,43,f,20,f,Ga,69,f,31,b,19.075134
457,none,Sn,112,b,50,b,Ca,44,b,20,b,Zn,68,b,30,b,22.900800
458,none,Sn,112,b,50,b,Ca,46,b,20,b,Zn,66,b,30,b,23.476400
459,none,Sn,112,b,50,b,Ca,48,b,20,b,Zn,64,b,30,b,21.826800
460,right,Sn,112,b,50,b,Sc,45,f,21,b,Zn,67,f,30,f,20.373637
461,right,Sn,112,b,50,b,Ti,47,f,22,f,Cu,65,f,29,b,23.656222
462,none,Sn,112,b,50,b,Ti,48,b,22,b,Ni,64,b,28,b,27.044100
463,right,Sn,112,b,50,b,Ti,49,f,22,f,Cu,63,f,29,b,25.595593
464,none,Sn,112,b,50,b,Ti,50,b,22,b,Ni,62,b,28,b,29.626200
465,right,Sn,112,b,50,b,V,50,b,23,f,Ni,62,b,28,b,27.413869
466,right,Sn,112,b,50,b,V,51,f,23,b,Ni,61,f,28,f,27.863781
467,right,Sn,112,b,50,b,Cr,52,b,24,b,Co,60,b,27,f,28.522347
468,right,Sn,112,b,50,b,Cr,53,f,24,f,Co,59,f,27,b,28.968533
469,none,Sn,112,b,50,b,Cr,54,b,24,b,Fe,58,b,26,b,30.542800
470,right,Sn,112,b,50,b,Mn,55,f,25,b,Fe,57,f,26,f,29.334610
471,none,Sn,114,b,50,b,He,4,b,2,b,Cd,110,b,48,b,0.360500
472,none,Sn,114,b,50,b,C,12,b,6,b,Ru,102,b,44,b,2.086500
473,none,Sn,114,b,50,b,O,16,b,8,b,Mo,98,b,42,b,5.155800
474,none,Sn,114,b,50,b,O,17,f,8,f,Mo,97,f,42,f,1.002300
475,none,Sn,114,b,50,b,O,18,b,8,b,Mo,96,b,42,b,2.095900
476,right,Sn,114,b,50,b,F,19,f,9,b,Mo,95,f,42,f,1.709290
477,none,Sn,114,b,50,b,Ne,20,b,10,b,Zr,94,b,40,b,6.872600
478,right,Sn,114,b,50,b,Ne,21,f,10,f,Nb,93,f,41,b,5.673729
479,none,Sn,114,b,50,b,Ne,22,b,10,b,Zr,92,b,40,b,9.301000
480,right,Sn,114,b,50,b,Na,23,f,11,b,Zr,91,f,40,f,10.187749
481,none,Sn,114,b,50,b,Mg,24,b,12,b,Sr,90,b,38,b,12.654300
482,right,Sn,114,b,50,b,Mg,25,f,12,f,Y,89,f,39,b,13.683646
483,none,Sn,114,b,50,b,Mg,26,b,12,b,Sr,88,b,38,b,16.542400
484,none,Sn,114,b,50,b,Al,27,f,13,b,Rb,87,f,37,b,14.200600
485,right,Sn,114,b,50,b,Al,27,f,13,b,Sr,87,f,38,f,14.470759
486,none,Sn,114,b,50,b,Si,28,b,14,b,Kr,86,b,36,b,17.154400
487,right,Sn,114,b,50,b,Si,29,f,14,f,Rb,85,f,37,b,16.542402
488,none,Sn,114,b,50,b,Si,30,b,14,b,Kr,84,b,36,b,19.277300
489,right,Sn,114,b,50,b,P,31,f,15,b,Kr,83,f,36,f,16.828370
490,right,Sn,114,b,50,b,S,33,f,16,f,Br,81,f,35,b,16.911273
491,none,Sn,114,b,50,b,S,34,b,16,b,Se,80,b,34,b,20.104400
492,right,Sn,114,b,50,b,Cl,37,f,17,b,Se,77,f,34,f,18.750974
493,none,Sn,114,b,50,b,Ar,38,b,18,b,Ge,76,b,32,b,20.376400
494,none,Sn,114,b,50,b,Ar,40,b,18,b,Ge,74,b,32,b,20.889700
495,right,Sn,114,b,50,b,K,40,b,19,f,Ge,74,b,32,b,19.376938
496,right,Sn,114,b,50,b,K,41,f,19,b,Ge,73,f,32,f,19.342473
497,right,Sn,114,b,50,b,Ca,43,f,20,f,Ga,71,f,31,b,20.809576
498,none,Sn,114,b,50,b,Ca,44,b,20,b,Zn,70,b,30,b,23.401000
499,none,Sn,114,b,50,b,Ca,46,b,20,b,Zn,68,b,30,b,25.528500
500,none,Sn,114,b,50,b,Ca,48,b,20,b,Zn,66,b,30,b,25.661700
501,right,Sn,114,b,50,b,Ti,49,f,22,f,Cu,65,f,29,b,28.230790
502,none,Sn,114,b,50,b,Ti,50,b,22,b,Ni,64,b,28,b,30.935900
503,right,Sn,114,b,50,b,V,50,b,23,f,Ni,64,b,28,b,28.723550
504,right,Sn,114,b,50,b,Cr,54,b,24,b,Co,60,b,27,f,30.995464
505,right,Sn,115,f,50,f,N,15,f,7,b,Ru,100,b,44,b,0.374459
506,right,Sn,115,f,50,f,F,19,f,9,b,Mo,96,b,42,b,0.535607
507,none,Sn,115,f,50,f,Ne,21,f,10,f,Zr,94,b,40,b,3.298400
508,right,Sn,115,f,50,f,Ne,22,b,10,b,Nb,93,f,41,b,5.705399
509,right,Sn,115,f,50,f,Na,23,f,11,b,Zr,92,b,40,b,8.539004
510,none,Sn,115,f,50,f,Mg,25,f,12,f,Sr,90,b,38,b,9.650300
511,right,Sn,115,f,50,f,Mg,26,b,12,b,Y,89,f,39,b,14.446540
512,right,Sn,115,f,50,f,Al,27,f,13,b,Sr,88,b,38,b,15.262529
513,right,Sn,115,f,50,f,Si,28,b,14,b,Rb,87,f,37,b,16.229420
514,none,Sn,115,f,50,f,Si,29,f,14,f,Kr,86,b,36,b,15.297000
515,right,Sn,115,f,50,f,Si,30,b,14,b,Rb,85,f,37,b,16.821850
516,right,Sn,115,f,50,f,P,31,f,15,b,Kr,84,b,36,b,17.011875
517,right,Sn,115,f,50,f,S,34,b,16,b,Br,81,f,35,b,17.997396
518,right,Sn,115,f,50,f,Cl,35,f,17,b,Se,80,b,34,b,16.918725
519,right,Sn,115,f,50,f,Cl,37,f,17,b,Se,78,b,34,b,18.896287
520,right,Sn,115,f,50,f,Ar,40,b,18,b,As,75,f,33,b,18.225612
521,right,Sn,115,f,50,f,K,39,f,19,b,Ge,76,b,32,b,17.191653
522,right,Sn,115,f,50,f,K,41,f,19,b,Ge,74,b,32,b,19.137544
523,right,Sn,115,f,50,f,Ca,44,b,20,b,Ga,71,f,31,b,21.610661
524,right,Sn,115,f,50,f,Ca,46,b,20,b,Ga,69,f,31,b,22.503964
525,none,Sn,115,f,50,f,Ca,48,b,20,b,Zn,67,f,30,f,22.372600
526,right,Sn,115,f,50,f,Sc,45,f,21,b,Zn,70,b,30,b,20.737851
527,right,Sn,115,f,50,f,Ti,50,b,22,b,Cu,65,f,29,b,28.833466
528,right,Sn,115,f,50,f,V,51,f,23,b,Ni,64,b,28,b,29.428691
529,none,Sn,116,b,50,b,Ne,20,b,10,b,Zr,96,b,40,b,1.367400
530,none,Sn,116,b,50,b,Ne,22,b,10,b,Zr,94,b,40,b,4.270900
531,none,Sn,116,b,50,b,Mg,26,b,12,b,Sr,90,b,38,b,11.354000
532,right,Sn,116,b,50,b,Si,29,f,14,f,Rb,87,f,37,b,15.312830
533,none,Sn,116,b,50,b,Si,30,b,14,b,Kr,86,b,36,b,16.517300
534,none,Sn,116,b,50,b,Ar,40,b,18,b,Ge,76,b,32,b,17.107800
535,right,Sn,116,b,50,b,K,40,b,19,f,Ge,76,b,32,b,15.595072
536,none,Sn,116,b,50,b,Ca,46,b,20,b,Zn,70,b,30,b,21.492400
537,none,Sn,116,b,50,b,Ca,48,b,20,b,Zn,68,b,30,b,23.177400
538,none,Sn,117,f,50,f,Ne,21,f,10,f,Zr,96,b,40,b,0.941700
539,right,Sn,117,f,50,f,Na,23,f,11,b,Zr,94,b,40,b,6.657386
540,right,Sn,117,f,50,f,Al,27,f,13,b,Sr,90,b,38,b,13.222557
541,right,Sn,117,f,50,f,Si,30,b,14,b,Rb,87,f,37,b,18.740728
542,right,Sn,117,f,50,f,P,31,f,15,b,Kr,86,b,36,b,17.400308
543,right,Sn,117,f,50,f,Cl,37,f,17,b,Se,80,b,34,b,19.237214
544,right,Sn,117,f,50,f,K,41,f,19,b,Ge,76,b,32,b,18.504128
545,right,Sn,117,f,50,f,Ca,46,b,20,b,Ga,71,f,31,b,22.850480
546,right,Sn,117,f,50,f,Ca,48,b,20,b,Ga,69,f,31,b,23.301323
547,none,Sn,118,b,50,b,Ne,22,b,10,b,Zr,96,b,40,b,2.053900
548,none,Sn,118,b,50,b,Ca,48,b,20,b,Zn,70,b,30,b,22.429400
549,right,Sn,119,f,50,f,Na,23,f,11,b,Zr,96,b,40,b,5.045902
550,right,Sn,119,f,50,f,Ca,48,b,20,b,Ga,71,f,31,b,24.393034
551,right,Sb,121,f,51,b,Ne,21,f,10,f,Mo,100,b,42,b,2.171311
552,right,Sb,121,f,51,b,Mg,25,f,12,f,Zr,96,b,40,b,9.044806
553,right,Sb,121,f,51,b,Ca,48,b,20,b,Ge,73,f,32,f,26.106983
554,none,Te,120,b,52,b,C,12,b,6,b,Pd,108,b,46,b,0.549600
555,none,Te,120,b,52,b,O,16,b,8,b,Ru,104,b,44,b,3.786500
556,right,Te,120,b,52,b,O,17,f,8,f,Rh,103,f,45,b,0.536539
557,none,Te,120,b,52,b,O,18,b,8,b,Ru,102,b,44,b,1.518300
558,right,Te,120,b,52,b,F,19,f,9,b,Ru,101,f,44,f,1.849014
559,none,Te,120,b,52,b,Ne,20,b,10,b,Mo,100,b,42,b,4.189900
560,none,Te,120,b,52,b,Ne,22,b,10,b,Mo,98,b,42,b,7.093300
561,right,Te,120,b,52,b,Na,23,f,11,b,Mo,97,f,42,f,8.371335
562,none,Te,120,b,52,b,Mg,24,b,12,b,Zr,96,b,40,b,10.493300
563,none,Te,120,b,52,b,Mg,26,b,12,b,Zr,94,b,40,b,14.698000
564,none,Te,120,b,52,b,Si,30,b,14,b,Sr,90,b,38,b,21.814700
565,right,Te,120,b,52,b,S,33,f,16,f,Rb,87,f,37,b,22.233831
566,none,Te,120,b,52,b,S,34,b,16,b,Kr,86,b,36,b,24.244900
567,right,Te,120,b,52,b,Cl,37,f,17,b,Kr,83,f,36,f,22.805768
568,none,Te,120,b,52,b,Ar,40,b,18,b,Se,80,b,34,b,23.859300
569,right,Te,120,b,52,b,K,40,b,19,f,Se,80,b,34,b,22.346541
570,none,Te,120,b,52,b,Ca,44,b,20,b,Ge,76,b,32,b,25.765100
571,none,Te,120,b,52,b,Ca,46,b,20,b,Ge,74,b,32,b,27.638400
572,none,Te,120,b,52,b,Ca,48,b,20,b,Ge,72,b,32,b,28.005400
573,right,Te,120,b,52,b,Ti,49,f,22,f,Ga,71,f,31,b,29.624305
574,none,Te,120,b,52,b,Ti,50,b,22,b,Zn,70,b,30,b,32.017300
575,right,Te,120,b,52,b,V,50,b,23,f,Zn,70,b,30,b,29.805015
576,none,Te,122,b,52,b,Ne,22,b,10,b,Mo,100,b,42,b,3.767900
577,none,Te,122,b,52,b,Mg,26,b,12,b,Zr,96,b,40,b,11.372600
578,none,Te,122,b,52,b,Ca,46,b,20,b,Ge,76,b,32,b,26.036200
579,none,Te,122,b,52,b,Ca,48,b,20,b,Ge,74,b,32,b,27.467000
580,left,Te,123,f,52,f,nu,0,b,0,b,Sb,123,f,51,b,0.027947
581,right,Te,123,f,52,f,N,15,f,7,b,Pd,108,b,46,b,0.141585
582,right,Te,123,f,52,f,F,19,f,9,b,Ru,104,b,44,b,0.228214
583,right,Te,123,f,52,f,Na,23,f,11,b,Mo,100,b,42,b,6.368623
584,right,Te,123,f,52,f,Al,27,f,13,b,Zr,96,b,40,b,13.455430
585,right,Te,123,f,52,f,Cl,37,f,17,b,Kr,86,b,36,b,25.771645
586,right,Te,123,f,52,f,Ca,48,b,20,b,As,75,f,33,b,28.165585
587,none,Te,124,b,52,b,Ca,48,b,20,b,Ge,76,b,32,b,27.047800
588,right,I,127,f,53,b,O,17,f,8,f,Pd,110,b,46,b,0.668811
589,none,Xe,124,b,54,b,C,12,b,6,b,Cd,112,b,48,b,3.055300
590,none,Xe,124,b,54,b,N,15,f,7,b,Ag,109,f,47,b,1.222100
591,none,Xe,124,b,54,b,O,16,b,8,b,Pd,108,b,46,b,6.785900
592,right,Xe,124,b,54,b,O,17,f,8,f,Ag,107,f,47,b,1.877890
593,none,Xe,124,b,54,b,O,18,b,8,b,Pd,106,b,46,b,3.502400
594,right,Xe,124,b,54,b,F,19,f,9,b,Pd,105,f,46,f,2.864342
595,none,Xe,124,b,54,b,Ne,20,b,10,b,Ru,104,b,44,b,7.589800
596,right,Xe,124,b,54,b,Ne,21,f,10,f,Rh,103,f,45,b,6.959190
597,none,Xe,124,b,54,b,Ne,22,b,10,b,Ru,102,b,44,b,10.260400
598,right,Xe,124,b,54,b,Na,23,f,11,b,Ru,101,f,44,f,11.389376
599,none,Xe,124,b,54,b,Mg,24,b,12,b,Mo,100,b,42,b,12.579800
600,none,Xe,124,b,54,b,Mg,26,b,12,b,Mo,98,b,42,b,16.784600
601,right,Xe,124,b,54,b,Al,27,f,13,b,Mo,97,f,42,f,17.544689
602,none,Xe,124,b,54,b,Si,28,b,14,b,Zr,96,b,40,b,19.554900
603,none,Xe,124,b,54,b,Si,30,b,14,b,Zr,94,b,40,b,24.422800
604,none,Xe,124,b,54,b,S,34,b,16,b,Sr,90,b,38,b,28.806500
605,none,Xe,124,b,54,b,Cl,37,f,17,b,Rb,87,f,37,b,28.917300
606,right,Xe,124,b,54,b,Cl,37,f,17,b,Sr,87,f,38,f,29.187434
607,none,Xe,124,b,54,b,Ar,38,b,18,b,Kr,86,b,36,b,30.532500
608,none,Xe,124,b,54,b,Ar,40,b,18,b,Kr,84,b,36,b,30.023900
609,right,Xe,124,b,54,b,K,40,b,19,f,Kr,84,b,36,b,28.511169
610,right,Xe,124,b,54,b,K,41,f,19,b,Kr,83,f,36,f,28.088271
611,right,Xe,124,b,54,b,Ca,43,f,20,f,Br,81,f,35,b,28.872589
612,none,Xe,124,b,54,b,Ca,44,b,20,b,Se,80,b,34,b,31.780700
613,none,Xe,124,b,54,b,Ca,46,b,20,b,Se,78,b,34,b,32.679600
614,none,Xe,124,b,54,b,Ca,48,b,20,b,Se,76,b,34,b,32.162600
615,none,Xe,124,b,54,b,Ti,48,b,22,b,Ge,76,b,32,b,34.290200
616,right,Xe,124,b,54,b,Ti,49,f,22,f,As,75,f,33,b,34.160681
617,none,Xe,124,b,54,b,Ti,50,b,22,b,Ge,74,b,32,b,37.427400
618,right,Xe,124,b,54,b,V,50,b,23,f,Ge,74,b,32,b,35.215132
619,right,Xe,124,b,54,b,V,51,f,23,b,Ge,73,f,32,f,36.125202
620,right,Xe,124,b,54,b,Cr,53,f,24,f,Ga,71,f,31,b,37.845672
621,none,Xe,124,b,54,b,Cr,54,b,24,b,Zn,70,b,30,b,39.023100
622,right,Xe,124,b,54,b,Co,60,b,27,f,Ni,64,b,28,b,41.316419
623,none,Xe,126,b,54,b,C,12,b,6,b,Cd,114,b,48,b,0.558000
624,none,Xe,126,b,54,b,O,16,b,8,b,Pd,110,b,46,b,4.428300
625,right,Xe,126,b,54,b,O,17,f,8,f,Ag,109,f,47,b,0.312049
626,none,Xe,126,b,54,b,O,18,b,8,b,Pd,108,b,46,b,1.014400
627,none,Xe,126,b,54,b,Ne,22,b,10,b,Ru,104,b,44,b,6.757100
628,none,Xe,126,b,54,b,Mg,26,b,12,b,Mo,100,b,42,b,13.048400
