E1,A1,Z1,E2,A2,Z2,E3,A3,Z3,E4,A4,Z4,MeV
D,2.0,1.0,Sn,114.0,50.0,B,11.0,5.0,Pd,105.0,46.0,5.69794940968859
D,2.0,1.0,Sn,114.0,50.0,C,13.0,6.0,Rh,103.0,45.0,11.09223174280487
D,2.0,1.0,Sn,114.0,50.0,N,14.0,7.0,Ru,102.0,44.0,12.202572709982633
D,2.0,1.0,Sn,114.0,50.0,N,15.0,7.0,Ru,101.0,44.0,14.749277579394402
D,2.0,1.0,Sn,114.0,50.0,F,19.0,9.0,Mo,97.0,42.0,14.817276648696861
D,2.0,1.0,Sn,114.0,50.0,Si,29.0,14.0,Rb,87.0,37.0,32.035013593093026
D,2.0,1.0,Sn,114.0,50.0,K,40.0,19.0,Ge,76.0,32.0,32.31725630539586
Н,1.0,1.0,In,115.0,49.0,Не,4.0,2.0,Cd,112.0,48.0,6.00999993320147
Н,1.0,1.0,In,115.0,49.0,C,12.0,6.0,Ru,104.0,44.0,5.928959946511895
Н,1.0,1.0,In,115.0,49.0,O,16.0,8.0,Mo,100.0,42.0,8.765359480996267
Н,1.0,1.0,In,115.0,49.0,O,18.0,8.0,Mo,98.0,42.0,6.730044872500002
Н,1.0,1.0,In,115.0,49.0,Ne,20.0,10.0,Zr,96.0,40.0,10.482103107307921
Н,1.0,1.0,In,115.0,49.0,Ne,22.0,10.0,Zr,94.0,40.0,13.385570217011264
Н,1.0,1.0,In,115.0,49.0,Mg,26.0,12.0,Sr*,90.0,38.0,20.468651353410678
Н,1.0,1.0,In,115.0,49.0,Si,30.0,14.0,Kr,86.0,36.0,25.631923149703653
Н,1.0,1.0,In,115.0,49.0,Ar,40.0,18.0,Ge,76.0,32.0,26.2224904090981
Н,1.0,1.0,In,115.0,49.0,Ca,46.0,20.0,Zn,70.0,30.0,30.607033137814142
Н,1.0,1.0,In,115.0,49.0,Ca,48.0,20.0,Zn,68.0,30.0,32.292105964705115
D,2.0,1.0,In,115.0,49.0,Не,4.0,2.0,Cd,113.0,48.0,10.208243841902004
D,2.0,1.0,In,115.0,49.0,Be,9.0,4.0,Pd,108.0,46.0,1.924466810611193
D,2.0,1.0,In,115.0,49.0,C,13.0,6.0,Ru,104.0,44.0,8.651717200817075
D,2.0,1.0,In,115.0,49.0,O,17.0,8.0,Mo,100.0,42.0,10.682374338794034
D,2.0,1.0,In,115.0,49.0,Ne,21.0,10.0,Zr,96.0,40.0,15.018479374310118
Н,1.0,1.0,Sn,115.0,50.0,C,13.0,6.0,Rh,103.0,45.0,2.9817126141133485
Н,1.0,1.0,Sn,115.0,50.0,N,14.0,7.0,Ru,102.0,44.0,4.092053581291111
Н,1.0,1.0,Sn,115.0,50.0,N,15.0,7.0,Ru,101.0,44.0,6.6387584507028805
Н,1.0,1.0,Sn,115.0,50.0,F,19.0,9.0,Mo,97.0,42.0,6.70675752000534
Н,1.0,1.0,Sn,115.0,50.0,Si,29.0,14.0,Rb,87.0,37.0,23.924494464401505
Н,1.0,1.0,Sn,115.0,50.0,K,40.0,19.0,Ge,76.0,32.0,24.206737176704337
D,2.0,1.0,Sn,115.0,50.0,Н,1.0,1.0,Sn,116.0,50.0,7.169710087706335
D,2.0,1.0,Sn,115.0,50.0,Не,4.0,2.0,In,113.0,49.0,10.012630080906092
D,2.0,1.0,Sn,115.0,50.0,B,11.0,5.0,Pd,106.0,46.0,4.775770250707865
D,2.0,1.0,Sn,115.0,50.0,N,15.0,7.0,Ru,102.0,44.0,12.85834455639997
D,2.0,1.0,Sn,115.0,50.0,F,19.0,9.0,Mo,98.0,42.0,12.777304569695843
D,2.0,1.0,Sn,115.0,50.0,Na,23.0,11.0,Zr,94.0,40.0,20.231120357915643
D,2.0,1.0,Sn,115.0,50.0,Al,27.0,13.0,Sr*,90.0,38.0,26.79629077471327
D,2.0,1.0,Sn,115.0,50.0,Si,30.0,14.0,Rb,87.0,37.0,32.31446182310174
D,2.0,1.0,Sn,115.0,50.0,P,31.0,15.0,Kr,86.0,36.0,30.97404181319871
D,2.0,1.0,Sn,115.0,50.0,Cl,37.0,17.0,Se,80.0,34.0,32.81094817840494
D,2.0,1.0,Sn,115.0,50.0,K,41.0,19.0,Ge,76.0,32.0,32.07786232170474
D,2.0,1.0,Sn,115.0,50.0,Ca,46.0,20.0,Ga,71.0,31.0,36.42421379229927
D,2.0,1.0,Sn,115.0,50.0,Ca,48.0,20.0,Ga,69.0,31.0,36.87505693671119
Н,1.0,1.0,Sn,116.0,50.0,Не,4.0,2.0,In,113.0,49.0,2.8429199931997573
Н,1.0,1.0,Sn,116.0,50.0,N,15.0,7.0,Ru,102.0,44.0,5.688634468693635
Н,1.0,1.0,Sn,116.0,50.0,F,19.0,9.0,Mo,98.0,42.0,5.6075944819895085
Н,1.0,1.0,Sn,116.0,50.0,Na,23.0,11.0,Zr,94.0,40.0,13.061410270209308
Н,1.0,1.0,Sn,116.0,50.0,Al,27.0,13.0,Sr*,90.0,38.0,19.626580687006935
Н,1.0,1.0,Sn,116.0,50.0,Si,30.0,14.0,Rb,87.0,37.0,25.144751735395403
Н,1.0,1.0,Sn,116.0,50.0,P,31.0,15.0,Kr,86.0,36.0,23.804331725492375
Н,1.0,1.0,Sn,116.0,50.0,Cl,37.0,17.0,Se,80.0,34.0,25.641238090698607
Н,1.0,1.0,Sn,116.0,50.0,K,41.0,19.0,Ge,76.0,32.0,24.908152233998408
Н,1.0,1.0,Sn,116.0,50.0,Ca,46.0,20.0,Ga,71.0,31.0,29.254503704592935
Н,1.0,1.0,Sn,116.0,50.0,Ca,48.0,20.0,Ga,69.0,31.0,29.705346849004854
D,2.0,1.0,Sn,116.0,50.0,Н,1.0,1.0,Sn,117.0,50.0,4.9620690707088215
D,2.0,1.0,Sn,116.0,50.0,N,14.0,7.0,Ru,104.0,44.0,6.930316104015219
Н,1.0,1.0,Sn,117.0,50.0,N,14.0,7.0,Ru,104.0,44.0,1.9682470333063975
D,2.0,1.0,Sn,117.0,50.0,Н,1.0,1.0,Sn,118.0,50.0,7.029985972694703
D,2.0,1.0,Sn,117.0,50.0,Не,4.0,2.0,In,115.0,49.0,9.770441614891752
D,2.0,1.0,Sn,117.0,50.0,B,11.0,5.0,Pd,108.0,46.0,3.667292271697079
D,2.0,1.0,Sn,117.0,50.0,N,15.0,7.0,Ru,104.0,44.0,10.734538008400705
D,2.0,1.0,Sn,117.0,50.0,F,19.0,9.0,Mo,100.0,42.0,10.420624496691744
D,2.0,1.0,Sn,117.0,50.0,Na,23.0,11.0,Zr,96.0,40.0,17.874440284911543
D,2.0,1.0,Sn,117.0,50.0,Ca,48.0,20.0,Ga,71.0,31.0,37.221572741895216
Н,1.0,1.0,Sn,118.0,50.0,Не,4.0,2.0,In,115.0,49.0,2.7404556421970483
Н,1.0,1.0,Sn,118.0,50.0,N,15.0,7.0,Ru,104.0,44.0,3.7045520357060013
Н,1.0,1.0,Sn,118.0,50.0,F,19.0,9.0,Mo,100.0,42.0,3.3906385239970405
Н,1.0,1.0,Sn,118.0,50.0,Na,23.0,11.0,Zr,96.0,40.0,10.84445431221684
Н,1.0,1.0,Sn,118.0,50.0,Ca,48.0,20.0,Ga,71.0,31.0,30.191586769200512
D,2.0,1.0,Sn,118.0,50.0,Н,1.0,1.0,Sn,119.0,50.0,4.356597905716626
D,2.0,1.0,Sn,119.0,50.0,Н,1.0,1.0,Sn,120.0,50.0,7.020671031699749
D,2.0,1.0,Sn,119.0,50.0,B,11.0,5.0,Pd,110.0,46.0,3.434418746706797
Н,1.0,1.0,Te,120.0,52.0,B,11.0,5.0,Cd,110.0,48.0,0.05588964599883184
Н,1.0,1.0,Te,120.0,52.0,C,12.0,6.0,Ag,109.0,47.0,7.111957453496871
Н,1.0,1.0,Te,120.0,52.0,N,15.0,7.0,Pd,106.0,46.0,8.408597240704694
Н,1.0,1.0,Te,120.0,52.0,O,18.0,8.0,Rh,103.0,45.0,7.801263087501866
Н,1.0,1.0,Te,120.0,52.0,F,19.0,9.0,Ru,102.0,44.0,9.510554760985542
Н,1.0,1.0,Te,120.0,52.0,Na,23.0,11.0,Mo,98.0,42.0,15.88383739317942
Н,1.0,1.0,Te,120.0,52.0,Al,27.0,13.0,Zr,94.0,40.0,22.9706445060001
Н,1.0,1.0,Te,120.0,52.0,P,31.0,15.0,Sr*,90.0,38.0,29.101738672194188
Н,1.0,1.0,Te,120.0,52.0,S,34.0,16.0,Rb,87.0,37.0,32.872426788992016
Н,1.0,1.0,Te,120.0,52.0,Cl,35.0,17.0,Kr,86.0,36.0,30.611690608304343
Н,1.0,1.0,Te,120.0,52.0,Cl,37.0,17.0,Kr,84.0,36.0,32.54174638350378
Н,1.0,1.0,Te,120.0,52.0,Ar,40.0,18.0,Br,81.0,35.0,31.3047222187015
Н,1.0,1.0,Te,120.0,52.0,K,41.0,19.0,Se,80.0,34.0,31.659621470796992
Н,1.0,1.0,Te,120.0,52.0,Sc,45.0,21.0,Ge,76.0,32.0,32.65445716959948
Н,1.0,1.0,Te,120.0,52.0,Ca,46.0,20.0,As,75.0,33.0,34.52676031058945
Н,1.0,1.0,Te,120.0,52.0,Ti,50.0,22.0,Ga,71.0,31.0,39.77945554048347
Н,1.0,1.0,Te,120.0,52.0,V,51.0,23.0,Zn,70.0,30.0,40.06262974689889
D,2.0,1.0,Te,120.0,52.0,Li,6.0,3.0,Sn,116.0,50.0,1.281735881595523
D,2.0,1.0,Te,120.0,52.0,Be,9.0,4.0,In,113.0,49.0,1.9989863386144862
D,2.0,1.0,Te,120.0,52.0,B,10.0,5.0,Cd,112.0,48.0,2.6389227853069315
D,2.0,1.0,Te,120.0,52.0,B,11.0,5.0,Cd,111.0,48.0,4.468377197699738
D,2.0,1.0,Te,120.0,52.0,C,13.0,6.0,Ag,109.0,47.0,9.83471470780205
D,2.0,1.0,Te,120.0,52.0,N,14.0,7.0,Pd,108.0,46.0,10.665607445000205
Н,1.0,1.0,Sb,121.0,51.0,Не,4.0,2.0,Sn,118.0,50.0,6.689990626182407
Н,1.0,1.0,Sb,121.0,51.0,C,12.0,6.0,Pd,110.0,46.0,6.590320757502923
Н,1.0,1.0,Sb,121.0,51.0,O,18.0,8.0,Ru,104.0,44.0,6.413336878496921
Н,1.0,1.0,Sb,121.0,51.0,Ne,22.0,10.0,Mo,100.0,42.0,11.755455541977426
Н,1.0,1.0,Sb,121.0,51.0,Mg,26.0,12.0,Zr,96.0,40.0,19.360173374399892
Н,1.0,1.0,Sb,121.0,51.0,Ca,46.0,20.0,Ge,76.0,32.0,34.023753496599966
Н,1.0,1.0,Sb,121.0,51.0,Ca,48.0,20.0,Ge,74.0,32.0,35.454528434202075
D,2.0,1.0,Sb,121.0,51.0,Не,4.0,2.0,Sn,119.0,50.0,11.046588531899033
D,2.0,1.0,Sb,121.0,51.0,Be,9.0,4.0,Cd,114.0,48.0,1.952411633610609
D,2.0,1.0,Sb,121.0,51.0,C,13.0,6.0,Pd,110.0,46.0,9.313078011808102
Н,1.0,1.0,Te,122.0,52.0,N,15.0,7.0,Pd,108.0,46.0,6.331365397709305
Н,1.0,1.0,Te,122.0,52.0,F,19.0,9.0,Ru,104.0,44.0,6.417994349016226
Н,1.0,1.0,Te,122.0,52.0,Na,23.0,11.0,Mo,100.0,42.0,12.558403456190717
Н,1.0,1.0,Te,122.0,52.0,Al,27.0,13.0,Zr,96.0,40.0,19.645210569011397
Н,1.0,1.0,Te,122.0,52.0,Cl,37.0,17.0,Kr,86.0,36.0,31.961425559202326
Н,1.0,1.0,Te,122.0,52.0,Ca,48.0,20.0,As,75.0,33.0,34.355365396200796
D,2.0,1.0,Te,122.0,52.0,Н,1.0,1.0,Te,123.0,52.0,4.747825427723001
D,2.0,1.0,Te,122.0,52.0,Li,6.0,3.0,Sn,118.0,50.0,0.17325790259928908
D,2.0,1.0,Te,122.0,52.0,Be,9.0,4.0,In,115.0,49.0,0.7880440086155431
D,2.0,1.0,Te,122.0,52.0,B,10.0,5.0,Cd,114.0,48.0,0.5523760013165884
D,2.0,1.0,Te,122.0,52.0,B,11.0,5.0,Cd,113.0,48.0,2.968671696711681
D,2.0,1.0,Te,122.0,52.0,N,14.0,7.0,Pd,110.0,46.0,8.718784776021494
Н,1.0,1.0,Sb,123.0,51.0,Не,4.0,2.0,Sn,120.0,50.0,6.745880272195791
Н,1.0,1.0,Sb,123.0,51.0,Ca,48.0,20.0,Ge,76.0,32.0,35.63151231320808
D,2.0,1.0,Sb,123.0,51.0,Be,9.0,4.0,Cd,116.0,48.0,0.9836577696114546
Н,1.0,1.0,Te,123.0,52.0,N,14.0,7.0,Pd,110.0,46.0,3.970959348298493
D,2.0,1.0,Te,123.0,52.0,Н,1.0,1.0,Te,124.0,52.0,7.169710087691783
D,2.0,1.0,Te,123.0,52.0,Не,4.0,2.0,Sb,121.0,51.0,11.11179311889282
D,2.0,1.0,Te,123.0,52.0,Li,7.0,3.0,Sn,118.0,50.0,0.45363762669148855
D,2.0,1.0,Te,123.0,52.0,B,11.0,5.0,Cd,114.0,48.0,5.036588598697563
D,2.0,1.0,Te,123.0,52.0,N,15.0,7.0,Pd,110.0,46.0,12.737250323407352
Н,1.0,1.0,Te,124.0,52.0,Не,4.0,2.0,Sb,121.0,51.0,3.9420830312010366
Н,1.0,1.0,Te,124.0,52.0,N,15.0,7.0,Pd,110.0,46.0,5.567540235715569
D,2.0,1.0,Te,124.0,52.0,Н,1.0,1.0,Te,125.0,52.0,4.300708259717794
Н,1.0,1.0,Xe,124.0,54.0,C,12.0,6.0,In,113.0,49.0,9.002890476505854
Н,1.0,1.0,Xe,124.0,54.0,N,14.0,7.0,Cd,111.0,48.0,5.768742961299722
Н,1.0,1.0,Xe,124.0,54.0,N,15.0,7.0,Cd,110.0,48.0,10.122546384707675
Н,1.0,1.0,Xe,124.0,54.0,O,16.0,8.0,Ag,109.0,47.0,13.348310453002341
Н,1.0,1.0,Xe,124.0,54.0,O,18.0,8.0,Ag,107.0,47.0,9.142614591502934
Н,1.0,1.0,Xe,124.0,54.0,F,19.0,9.0,Pd,106.0,46.0,11.49463719400228
Н,1.0,1.0,Xe,124.0,54.0,Ne,22.0,10.0,Rh,103.0,45.0,16.543335216018022
Н,1.0,1.0,Xe,124.0,54.0,Na,23.0,11.0,Ru,102.0,44.0,19.050917333181133
Н,1.0,1.0,Xe,124.0,54.0,Al,27.0,13.0,Mo,98.0,42.0,25.057191289990442
Н,1.0,1.0,Xe,124.0,54.0,P,31.0,15.0,Zr,94.0,40.0,31.70992215219303
Н,1.0,1.0,Xe,124.0,54.0,Cl,35.0,17.0,Sr*,90.0,38.0,35.17321721599728
Н,1.0,1.0,Xe,124.0,54.0,Cl,37.0,17.0,Sr,88.0,38.0,39.53167810989544
Н,1.0,1.0,Xe,124.0,54.0,Ar,38.0,18.0,Rb,87.0,37.0,39.160011963991565
Н,1.0,1.0,Xe,124.0,54.0,K,39.0,19.0,Kr,86.0,36.0,36.90020727740193
Н,1.0,1.0,Xe,124.0,54.0,Ar,40.0,18.0,Rb,85.0,37.0,37.12097137908859
Н,1.0,1.0,Xe,124.0,54.0,K,41.0,19.0,Kr,84.0,36.0,37.82424942460784
Н,1.0,1.0,Xe,124.0,54.0,Ca,44.0,20.0,Br,81.0,35.0,39.22614804509794
Н,1.0,1.0,Xe,124.0,54.0,Sc,45.0,21.0,Se,80.0,34.0,38.670046067403746
Н,1.0,1.0,Xe,124.0,54.0,Ca,46.0,20.0,Br,79.0,35.0,39.037054742802866
Н,1.0,1.0,Xe,124.0,54.0,Ti,50.0,22.0,As,75.0,33.0,44.315831807485665
Н,1.0,1.0,Xe,124.0,54.0,V,51.0,23.0,Ge,74.0,32.0,45.47274747969641
Н,1.0,1.0,Xe,124.0,54.0,Cr,54.0,24.0,Ga,71.0,31.0,46.78522266658547
Н,1.0,1.0,Xe,124.0,54.0,Mn,55.0,25.0,Zn,70.0,30.0,47.08050629628997
D,2.0,1.0,Xe,124.0,54.0,Li,6.0,3.0,Te,120.0,52.0,0.5458555426012026
D,2.0,1.0,Xe,124.0,54.0,B,10.0,5.0,Sn,116.0,50.0,4.818618979305029
D,2.0,1.0,Xe,124.0,54.0,B,11.0,5.0,Sn,115.0,50.0,6.880946916702669
D,2.0,1.0,Xe,124.0,54.0,C,13.0,6.0,In,113.0,49.0,11.725647730811033
D,2.0,1.0,Xe,124.0,54.0,N,14.0,7.0,Cd,112.0,48.0,13.171326574010891
D,2.0,1.0,Xe,124.0,54.0,N,15.0,7.0,Cd,111.0,48.0,14.53503393639403
D,2.0,1.0,Xe,124.0,54.0,O,17.0,8.0,Ag,109.0,47.0,15.265325310800108
D,2.0,1.0,Xe,124.0,54.0,K,40.0,19.0,Kr,86.0,36.0,42.47333647770574
D,2.0,1.0,Xe,124.0,54.0,V,50.0,23.0,Ge,76.0,32.0,48.155450487698545
D,2.0,1.0,Te,125.0,52.0,Н,1.0,1.0,Te,126.0,52.0,6.944288515500375
D,2.0,1.0,Te,125.0,52.0,Не,4.0,2.0,Sb,123.0,51.0,10.962754062886233
D,2.0,1.0,Te,125.0,52.0,Li,7.0,3.0,Sn,120.0,50.0,0.3604882166982861
D,2.0,1.0,Te,125.0,52.0,B,11.0,5.0,Cd,116.0,48.0,3.918795678691822
Н,1.0,1.0,Te,126.0,52.0,Не,4.0,2.0,Sb,123.0,51.0,4.018465547385858
Н,1.0,1.0,Xe,126.0,54.0,B,11.0,5.0,Sn,116.0,50.0,0.5393350839003688
Н,1.0,1.0,Xe,126.0,54.0,C,12.0,6.0,In,115.0,49.0,7.381159248398035
Н,1.0,1.0,Xe,126.0,54.0,N,14.0,7.0,Cd,113.0,48.0,3.858248562202789
Н,1.0,1.0,Xe,126.0,54.0,N,15.0,7.0,Cd,112.0,48.0,8.426295628596563
Н,1.0,1.0,Xe,126.0,54.0,O,18.0,8.0,Ag,109.0,47.0,7.576773009408498
Н,1.0,1.0,Xe,126.0,54.0,F,19.0,9.0,Pd,108.0,46.0,9.006616452898015
Н,1.0,1.0,Xe,126.0,54.0,Na,23.0,11.0,Ru,104.0,44.0,15.547568023117492
Н,1.0,1.0,Xe,126.0,54.0,Al,27.0,13.0,Mo,100.0,42.0,21.320968454892864
Н,1.0,1.0,Xe,126.0,54.0,P,31.0,15.0,Zr,96.0,40.0,27.973699317095452
Н,1.0,1.0,Xe,126.0,54.0,Cl,37.0,17.0,Sr*,90.0,38.0,36.11216326880094
Н,1.0,1.0,Xe,126.0,54.0,Ar,40.0,18.0,Rb,87.0,37.0,37.660306462988956
Н,1.0,1.0,Xe,126.0,54.0,K,41.0,19.0,Kr,86.0,36.0,36.83313970219751
Н,1.0,1.0,Xe,126.0,54.0,Ca,46.0,20.0,Br,81.0,35.0,39.086423930100864
Н,1.0,1.0,Xe,126.0,54.0,Ca,48.0,20.0,Br,79.0,35.0,38.45487093030533
Н,1.0,1.0,Xe,126.0,54.0,V,51.0,23.0,Ge,76.0,32.0,43.45978872961132
D,2.0,1.0,Xe,126.0,54.0,Li,6.0,3.0,Te,122.0,52.0,0.1350666444923263
D,2.0,1.0,Xe,126.0,54.0,B,10.0,5.0,Sn,118.0,50.0,3.2993521021999186
D,2.0,1.0,Xe,126.0,54.0,B,11.0,5.0,Sn,117.0,50.0,5.50140415460919
D,2.0,1.0,Xe,126.0,54.0,C,13.0,6.0,In,115.0,49.0,10.103916502703214
D,2.0,1.0,Xe,126.0,54.0,N,14.0,7.0,Cd,114.0,48.0,10.673990891911671
D,2.0,1.0,Xe,126.0,54.0,N,15.0,7.0,Cd,113.0,48.0,12.624539537297096
Н,1.0,1.0,I,127.0,53.0,Не,4.0,2.0,Te,124.0,52.0,6.347200797390542
Н,1.0,1.0,I,127.0,53.0,C,12.0,6.0,Cd,116.0,48.0,6.676018214697251
Н,1.0,1.0,I,127.0,53.0,O,18.0,8.0,Pd,110.0,46.0,7.933535249714623
Н,1.0,1.0,I,127.0,53.0,Ca,48.0,20.0,Se,80.0,34.0,40.33555751820677
D,2.0,1.0,I,127.0,53.0,Не,4.0,2.0,Te,125.0,52.0,10.647909057108336
D,2.0,1.0,I,127.0,53.0,Be,9.0,4.0,Sn,120.0,50.0,3.854522585810628
D,2.0,1.0,I,127.0,53.0,C,13.0,6.0,Cd,116.0,48.0,9.39877546900243
Н,1.0,1.0,Xe,128.0,54.0,B,11.0,5.0,Sn,118.0,50.0,0.2496404187841108
Н,1.0,1.0,Xe,128.0,54.0,N,15.0,7.0,Cd,114.0,48.0,7.158532158500748
Н,1.0,1.0,Xe,128.0,54.0,F,19.0,9.0,Pd,110.0,46.0,7.87857709779928
Н,1.0,1.0,Xe,128.0,54.0,Ca,48.0,20.0,Br,81.0,35.0,39.73381232959218
D,2.0,1.0,Xe,128.0,54.0,Н,1.0,1.0,Xe,129.0,54.0,4.6863468170922715
D,2.0,1.0,Xe,128.0,54.0,Be,9.0,4.0,Sb,121.0,51.0,1.5872659464075696
D,2.0,1.0,Xe,128.0,54.0,B,10.0,5.0,Sn,120.0,50.0,2.3948713310965104
D,2.0,1.0,Xe,128.0,54.0,B,11.0,5.0,Sn,119.0,50.0,4.606238324500737
D,2.0,1.0,Xe,128.0,54.0,N,14.0,7.0,Cd,116.0,48.0,8.744866610795725
Н,1.0,1.0,Xe,129.0,54.0,N,14.0,7.0,Cd,116.0,48.0,4.058519793703454
D,2.0,1.0,Xe,129.0,54.0,Н,1.0,1.0,Xe,130.0,54.0,7.033711949101416
D,2.0,1.0,Xe,129.0,54.0,Не,4.0,2.0,I,127.0,53.0,11.113656107103452
D,2.0,1.0,Xe,129.0,54.0,Li,7.0,3.0,Te,124.0,52.0,0.11271078611025587
D,2.0,1.0,Xe,129.0,54.0,B,11.0,5.0,Sn,120.0,50.0,6.940562539108214
D,2.0,1.0,Xe,129.0,54.0,N,15.0,7.0,Cd,116.0,48.0,12.82481076879776
Н,1.0,1.0,Xe,130.0,54.0,Не,4.0,2.0,I,127.0,53.0,4.079944158002036
Н,1.0,1.0,Xe,130.0,54.0,N,15.0,7.0,Cd,116.0,48.0,5.791098819696344
D,2.0,1.0,Xe,130.0,54.0,Н,1.0,1.0,Xe,131.0,54.0,4.378022270015208
D,2.0,1.0,Xe,130.0,54.0,Be,9.0,4.0,Sb,123.0,51.0,1.1885864716168726
D,2.0,1.0,Xe,130.0,54.0,B,10.0,5.0,Sn,122.0,50.0,1.176477048327797
Н,1.0,1.0,Ba,130.0,56.0,B,11.0,5.0,Te,120.0,52.0,0.19561376101046335
Н,1.0,1.0,Ba,130.0,56.0,N,14.0,7.0,Sn,117.0,50.0,7.19392893431359
Н,1.0,1.0,Ba,130.0,56.0,N,15.0,7.0,Sn,116.0,50.0,10.998150838713627
Н,1.0,1.0,Ba,130.0,56.0,O,16.0,8.0,In,115.0,49.0,14.00967126400792
Н,1.0,1.0,Ba,130.0,56.0,O,18.0,8.0,In,113.0,49.0,9.859865048521897
Н,1.0,1.0,Ba,130.0,56.0,F,19.0,9.0,Cd,112.0,48.0,11.904494598013116
Н,1.0,1.0,Ba,130.0,56.0,Ne,22.0,10.0,Ag,109.0,47.0,16.711004153999966
Н,1.0,1.0,Ba,130.0,56.0,Na,23.0,11.0,Pd,108.0,46.0,18.93913804119802
Н,1.0,1.0,Ba,130.0,56.0,Al,27.0,13.0,Ru,104.0,44.0,25.113080936018378
Н,1.0,1.0,Ba,130.0,56.0,P,31.0,15.0,Mo,100.0,42.0,30.45240511719021
Н,1.0,1.0,Ba,130.0,56.0,Cl,35.0,17.0,Zr,96.0,40.0,34.437336877017515
Н,1.0,1.0,Ba,130.0,56.0,Cl,37.0,17.0,Zr,94.0,40.0,39.1125057649042
Н,1.0,1.0,Ba,130.0,56.0,K,41.0,19.0,Sr*,90.0,38.0,41.78682532600942
Н,1.0,1.0,Ba,130.0,56.0,Ca,44.0,20.0,Rb,87.0,37.0,45.97389130550437
Н,1.0,1.0,Ba,130.0,56.0,Sc,45.0,21.0,Kr,86.0,36.0,44.23572331489413
Н,1.0,1.0,Ba,130.0,56.0,Ca,46.0,20.0,Rb,85.0,37.0,45.29483210660692
Н,1.0,1.0,Ba,130.0,56.0,Ti,50.0,22.0,Br,81.0,35.0,49.26765444310149
Н,1.0,1.0,Ba,130.0,56.0,V,51.0,23.0,Se,80.0,34.0,49.86753664352
Н,1.0,1.0,Ba,130.0,56.0,Mn,55.0,25.0,Ge,76.0,32.0,50.86982429510681
D,2.0,1.0,Ba,130.0,56.0,Li,6.0,3.0,Xe,126.0,54.0,0.9380145587056177
D,2.0,1.0,Ba,130.0,56.0,B,10.0,5.0,Te,122.0,52.0,4.064108758306247
D,2.0,1.0,Ba,130.0,56.0,N,14.0,7.0,Sn,118.0,50.0,14.223914907008293
D,2.0,1.0,Ba,130.0,56.0,N,15.0,7.0,Sn,117.0,50.0,15.960219909407897
D,2.0,1.0,Ba,130.0,56.0,O,17.0,8.0,In,115.0,49.0,15.926686121805687
D,2.0,1.0,Ba,130.0,56.0,F,19.0,9.0,Cd,113.0,48.0,16.10273850671365
D,2.0,1.0,Xe,131.0,54.0,Н,1.0,1.0,Xe,132.0,54.0,6.70862050820142
D,2.0,1.0,Xe,131.0,54.0,B,11.0,5.0,Sn,122.0,50.0,6.030492803416564
D,2.0,1.0,Xe,132.0,54.0,B,10.0,5.0,Sn,124.0,50.0,0.07917699850804638
Н,1.0,1.0,Ba,132.0,56.0,B,11.0,5.0,Te,122.0,52.0,0.5961562239972409
Н,1.0,1.0,Ba,132.0,56.0,C,12.0,6.0,Sb,121.0,51.0,8.565088249510154
Н,1.0,1.0,Ba,132.0,56.0,N,14.0,7.0,Sn,119.0,50.0,5.880522253311938
Н,1.0,1.0,Ba,132.0,56.0,N,15.0,7.0,Sn,118.0,50.0,10.29021532270417
Н,1.0,1.0,Ba,132.0,56.0,O,18.0,8.0,In,115.0,49.0,9.04946518149518
Н,1.0,1.0,Ba,132.0,56.0,F,19.0,9.0,Cd,114.0,48.0,10.21849027700955
Н,1.0,1.0,Ba,132.0,56.0,Na,23.0,11.0,Pd,110.0,46.0,17.392857835206087
Н,1.0,1.0,Ba,132.0,56.0,Cl,37.0,17.0,Zr,96.0,40.0,36.187614290902275
Н,1.0,1.0,Ba,132.0,56.0,Ca,46.0,20.0,Rb,87.0,37.0,46.64549855160294
Н,1.0,1.0,Ba,132.0,56.0,Ca,48.0,20.0,Rb,85.0,37.0,45.52397965520504
D,2.0,1.0,Ba,132.0,56.0,Li,6.0,3.0,Xe,128.0,54.0,0.5197737078124192
D,2.0,1.0,Ba,132.0,56.0,B,10.0,5.0,Te,124.0,52.0,3.2816537143080495
D,2.0,1.0,Ba,132.0,56.0,B,11.0,5.0,Te,123.0,52.0,5.343981651720242
D,2.0,1.0,Ba,132.0,56.0,C,13.0,6.0,Sb,121.0,51.0,11.287845503815333
D,2.0,1.0,Ba,132.0,56.0,N,14.0,7.0,Sn,120.0,50.0,12.901193285011686
D,2.0,1.0,Ba,132.0,56.0,N,15.0,7.0,Sn,119.0,50.0,14.646813228420797
Н,1.0,1.0,Cs,133.0,55.0,Не,4.0,2.0,Xe,130.0,54.0,6.336022868184955
Н,1.0,1.0,Cs,133.0,55.0,C,12.0,6.0,Sn,122.0,50.0,8.85385142051382
Н,1.0,1.0,Cs,133.0,55.0,O,18.0,8.0,Cd,116.0,48.0,8.145915904489812
Н,1.0,1.0,Cs,133.0,55.0,Ca,48.0,20.0,Kr,86.0,36.0,46.514157883502776
D,2.0,1.0,Cs,133.0,55.0,Не,4.0,2.0,Xe,131.0,54.0,10.714045138200163
D,2.0,1.0,Cs,133.0,55.0,Be,9.0,4.0,Te,126.0,52.0,3.506143792415969
D,2.0,1.0,Cs,133.0,55.0,C,13.0,6.0,Sn,122.0,50.0,11.576608674819
