id,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
139,Cd,106,b,48,b,Mg,26,b,12,b,Kr,80,b,36,b,6.4981
140,Cd,106,b,48,b,Mg,24,b,12,b,Kr,82,b,36,b,6.9135
141,Cd,108,b,48,b,Mg,26,b,12,b,Kr,82,b,36,b,7.3830
142,Cd,108,b,48,b,Mg,25,f,12,f,Kr,83,f,36,f,3.7530
143,Cd,108,b,48,b,Mg,24,b,12,b,Kr,84,b,36,b,6.9406
144,Cd,110,b,48,b,Mg,26,b,12,b,Kr,84,b,36,b,8.2670
145,Cd,110,b,48,b,Mg,24,b,12,b,Kr,86,b,36,b,6.8074
146,Cd,111,f,48,f,Mg,25,f,12,f,Kr,86,b,36,b,7.5013
147,Cd,112,b,48,b,Mg,26,b,12,b,Kr,86,b,36,b,8.9722
148,Cd,106,b,48,b,Al,27,f,13,b,Br,79,f,35,b,5.6514
149,Cd,108,b,48,b,Al,27,f,13,b,Br,81,f,35,b,5.7017
150,Cd,106,b,48,b,Si,30,b,14,b,Se,76,b,34,b,12.0722
151,Cd,106,b,48,b,Si,29,f,14,f,Se,77,f,34,f,8.8725
152,Cd,106,b,48,b,Si,28,b,14,b,Se,78,b,34,b,10.8752
153,Cd,108,b,48,b,Si,30,b,14,b,Se,78,b,34,b,12.0079
154,Cd,108,b,48,b,Si,28,b,14,b,Se,80,b,34,b,9.8375
155,Cd,110,b,48,b,Si,30,b,14,b,Se,80,b,34,b,11.8272
156,Cd,106,b,48,b,P,31,f,15,b,As,75,f,33,b,9.8804
157,Cd,106,b,48,b,S,34,b,16,b,Ge,72,b,32,b,14.9067
158,Cd,106,b,48,b,S,33,f,16,f,Ge,73,f,32,f,10.3666
159,Cd,106,b,48,b,S,32,b,16,b,Ge,74,b,32,b,11.8542
160,Cd,108,b,48,b,S,34,b,16,b,Ge,74,b,32,b,13.9584
161,Cd,108,b,48,b,S,32,b,16,b,Ge,76,b,32,b,9.8422
162,Cd,110,b,48,b,S,34,b,16,b,Ge,76,b,32,b,12.8034
163,Cd,106,b,48,b,Cl,37,f,17,b,Ga,69,f,31,b,13.3874
164,Cd,106,b,48,b,Cl,35,f,17,b,Ga,71,f,31,b,11.4155
165,Cd,108,b,48,b,Cl,37,f,17,b,Ga,71,f,31,b,12.3553
166,Cd,106,b,48,b,Ar,40,b,18,b,Zn,66,b,30,b,16.3179
167,Cd,106,b,48,b,Ar,38,b,18,b,Zn,68,b,30,b,17.1022
168,Cd,108,b,48,b,Ar,40,b,18,b,Zn,68,b,30,b,15.6035
169,Cd,106,b,48,b,Ar,36,b,18,b,Zn,70,b,30,b,12.1597
170,Cd,108,b,48,b,Ar,38,b,18,b,Zn,70,b,30,b,14.8359
171,Cd,110,b,48,b,Ar,40,b,18,b,Zn,70,b,30,b,14.1941
172,Cd,106,b,48,b,K,41,f,19,b,Cu,65,f,29,b,15.2104
173,Cd,106,b,48,b,Ca,48,b,20,b,Ni,58,b,28,b,16.9951
174,Cd,106,b,48,b,Ca,46,b,20,b,Ni,60,b,28,b,20.0066
175,Cd,108,b,48,b,Ca,48,b,20,b,Ni,60,b,28,b,19.4254
176,Cd,106,b,48,b,Ca,44,b,20,b,Ni,62,b,28,b,20.6000
177,Cd,108,b,48,b,Ca,46,b,20,b,Ni,62,b,28,b,20.4612
178,Cd,110,b,48,b,Ca,48,b,20,b,Ni,62,b,28,b,20.7369
179,Cd,106,b,48,b,Ca,42,b,20,b,Ni,64,b,28,b,18.0365
180,Cd,108,b,48,b,Ca,44,b,20,b,Ni,64,b,28,b,19.1431
181,Cd,110,b,48,b,Ca,46,b,20,b,Ni,64,b,28,b,19.8613
182,Cd,112,b,48,b,Ca,48,b,20,b,Ni,64,b,28,b,20.9754
183,Cd,106,b,48,b,Ti,50,b,22,b,Fe,56,b,26,b,24.4312
184,Cd,106,b,48,b,Ti,49,f,22,f,Fe,57,f,26,f,21.1347
185,Cd,106,b,48,b,Ti,48,b,22,b,Fe,58,b,26,b,23.0358
186,Cd,108,b,48,b,Ti,50,b,22,b,Fe,58,b,26,b,24.1611
187,Cd,106,b,48,b,V,51,f,23,b,Mn,55,f,25,b,22.2795
